scenario,policy,destination_policy,threshold_mode,iteration,generated,completed,delayed,offloaded,received_offloaded,completed_offloaded,total_waiting_tasks,queue_imbalance,max_offloads_per_event,offload_fraction,high_arrival_rate_threshold,threshold_multiplier,completion_rate,offload_rate,offload_per_delayed,mean_rough_score,mean_actual_execution_time
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,10,6690,420,124,500,500,49,6265,1526,10.0,0.4,3.0,1.2,0.06278026905829596,0.07473841554559044,4.032258064516129,1.848703888,7.079131501176471
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,11,6789,462,108,420,420,42,6322,1540,10.0,0.4,3.0,1.2,0.06805125939019001,0.0618647812638091,3.888888888888889,1.8631074261904763,6.446482010706638
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,12,6785,449,118,498,498,45,6331,1603,10.0,0.4,3.0,1.2,0.06617538688282977,0.07339719970523213,4.220338983050848,1.8602312570281125,6.673295962555066
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,13,6927,477,105,476,476,27,6445,1602,10.0,0.4,3.0,1.2,0.06886097877869207,0.06871661613974303,4.533333333333333,1.8593174453781514,6.2702784232365145
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,14,6917,455,114,410,410,17,6457,1727,10.0,0.4,3.0,1.2,0.06577996241145005,0.059274251843284664,3.5964912280701755,1.8800186731707316,6.578763128260869
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,15,6690,462,114,471,471,35,6223,1693,10.0,0.4,3.0,1.2,0.06905829596412556,0.07040358744394619,4.131578947368421,1.8633314861995753,6.4419541434689505
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,16,6660,462,116,534,534,60,6193,1492,10.0,0.4,3.0,1.2,0.06936936936936937,0.08018018018018018,4.603448275862069,1.837210970037453,6.444620458244111
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,17,6770,450,108,340,340,21,6315,1852,10.0,0.4,3.0,1.2,0.06646971935007386,0.050221565731166914,3.1481481481481484,1.8520501617647058,6.653963782417582
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,18,6820,458,99,373,373,48,6357,1789,10.0,0.4,3.0,1.2,0.06715542521994135,0.05469208211143695,3.7676767676767677,1.859886745308311,6.541431889848812
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,19,6697,445,107,380,380,31,6247,1682,10.0,0.4,3.0,1.2,0.066447663132746,0.0567418246976258,3.5514018691588785,1.8578648605263157,6.711101175555555
destination_min_estimated_delay,AHP_ROUGH,MIN_ESTIMATED_DELAY,ADAPTIVE_RATE,20,6680,462,105,472,472,41,6213,1631,10.0,0.4,3.0,1.2,0.06916167664670658,0.07065868263473053,4.495238095238095,1.8537437076271186,6.4847446766595285
